Receipt ID,Product ID,Supplier ID,Receipt Date,Quantity Received,Unit Cost
RC-000074,TEC-CO-1004,SUP-113,2024-04-15,1424,297.26
RC-000075,TEC-CO-1004,SUP-113,2024-07-08,1361,297.26
RC-000076,TEC-CO-1004,SUP-113,2024-09-30,1349,297.26
RC-000077,TEC-CO-1004,SUP-113,2024-12-23,1367,297.26
RC-000078,TEC-CO-1004,SUP-113,2025-03-24,1396,297.26
RC-000079,TEC-CO-1004,SUP-113,2025-06-16,1377,297.26
RC-000080,TEC-CO-1004,SUP-113,2025-09-08,1357,297.26
RC-000081,TEC-CO-1004,SUP-113,2025-12-01,1351,297.26
RC-000082,OFF-PA-1005,SUP-107,2023-02-06,388,28.49
RC-000083,OFF-PA-1005,SUP-107,2023-04-10,397,28.49
RC-000084,OFF-PA-1005,SUP-107,2023-06-12,379,28.49
RC-000085,OFF-PA-1005,SUP-107,2023-08-14,411,28.49
RC-000086,OFF-PA-1005,SUP-107,2023-10-16,376,28.49
RC-000087,OFF-PA-1005,SUP-107,2023-12-18,395,28.49
RC-000088,OFF-PA-1005,SUP-107,2024-02-26,392,28.49
RC-000089,OFF-PA-1005,SUP-107,2024-04-29,378,28.49
RC-000090,OFF-PA-1005,SUP-107,2024-07-08,404,28.49
RC-000091,OFF-PA-1005,SUP-107,2024-09-09,427,28.49
RC-000092,OFF-PA-1005,SUP-107,2024-11-11,408,28.49
RC-000093,OFF-PA-1005,SUP-107,2025-01-13,390,28.49
RC-000094,OFF-PA-1005,SUP-107,2025-03-17,395,28.49
RC-000095,OFF-PA-1005,SUP-107,2025-05-19,391,28.49
RC-000096,OFF-PA-1005,SUP-107,2025-07-21,395,28.49
RC-000097,OFF-PA-1005,SUP-107,2025-09-22,408,28.49
RC-000098,OFF-PA-1005,SUP-107,2025-11-24,405,28.49
RC-000099,TEC-CO-1006,SUP-109,2023-03-13,598,201.86
RC-000100,TEC-CO-1006,SUP-109,2023-05-08,614,201.86
RC-000101,TEC-CO-1006,SUP-109,2023-07-03,604,201.86
RC-000102,TEC-CO-1006,SUP-109,2023-08-21,565,201.86
RC-000103,TEC-CO-1006,SUP-109,2023-10-09,578,201.86
RC-000104,TEC-CO-1006,SUP-109,2023-12-04,587,201.86
RC-000105,TEC-CO-1006,SUP-109,2024-01-29,625,201.86
RC-000106,TEC-CO-1006,SUP-109,2024-03-25,595,201.86
RC-000107,TEC-CO-1006,SUP-109,2024-05-20,597,201.86
RC-000108,TEC-CO-1006,SUP-109,2024-07-15,599,201.86
RC-000109,TEC-CO-1006,SUP-109,2024-09-09,609,201.86
RC-000110,TEC-CO-1006,SUP-109,2024-11-04,600,201.86
RC-000111,TEC-CO-1006,SUP-109,2024-12-30,596,201.86
RC-000112,TEC-CO-1006,SUP-109,2025-02-24,581,201.86
RC-000113,TEC-CO-1006,SUP-109,2025-04-21,615,201.86
RC-000114,TEC-CO-1006,SUP-109,2025-06-16,628,201.86
RC-000115,TEC-CO-1006,SUP-109,2025-08-11,572,201.86
RC-000116,TEC-CO-1006,SUP-109,2025-10-06,613,201.86
RC-000117,TEC-CO-1006,SUP-109,2025-12-01,616,201.86
RC-000118,OFF-ST-1007,SUP-100,2023-02-13,449,16.09
RC-000119,OFF-ST-1007,SUP-100,2023-03-20,427,16.09
RC-000120,OFF-ST-1007,SUP-100,2023-04-24,408,16.09
RC-000121,OFF-ST-1007,SUP-100,2023-05-29,423,16.09
RC-000122,OFF-ST-1007,SUP-100,2023-07-03,394,16.09
RC-000123,OFF-ST-1007,SUP-100,2023-08-07,411,16.09
RC-000124,OFF-ST-1007,SUP-100,2023-09-11,416,16.09
RC-000125,OFF-ST-1007,SUP-100,2023-10-16,403,16.09
RC-000126,OFF-ST-1007,SUP-100,2023-11-20,432,16.09
RC-000127,OFF-ST-1007,SUP-100,2023-12-25,419,16.09
RC-000128,OFF-ST-1007,SUP-100,2024-01-29,396,16.09
RC-000129,OFF-ST-1007,SUP-100,2024-03-04,419,16.09
RC-000130,OFF-ST-1007,SUP-100,2024-04-08,427,16.09
RC-000131,OFF-ST-1007,SUP-100,2024-05-13,441,16.09
RC-000132,OFF-ST-1007,SUP-100,2024-06-17,409,16.09
RC-000133,OFF-ST-1007,SUP-100,2024-07-29,469,16.09
RC-000134,OFF-ST-1007,SUP-100,2024-09-02,449,16.09
RC-000135,OFF-ST-1007,SUP-100,2024-10-07,422,16.09
RC-000136,OFF-ST-1007,SUP-100,2024-11-11,469,16.09
RC-000137,OFF-ST-1007,SUP-100,2024-12-16,400,16.09
RC-000138,OFF-ST-1007,SUP-100,2025-01-20,432,16.09
RC-000139,OFF-ST-1007,SUP-100,2025-02-24,421,16.09
RC-000140,OFF-ST-1007,SUP-100,2025-03-31,430,16.09
RC-000141,OFF-ST-1007,SUP-100,2025-05-05,392,16.09
RC-000142,OFF-ST-1007,SUP-100,2025-06-09,458,16.09
RC-000143,OFF-ST-1007,SUP-100,2025-07-14,396,16.09
RC-000144,OFF-ST-1007,SUP-100,2025-08-18,440,16.09
RC-000145,OFF-ST-1007,SUP-100,2025-09-22,424,16.09
RC-000146,OFF-ST-1007,SUP-100,2025-10-27,429,16.09
RC-000147,OFF-ST-1007,SUP-100,2025-12-01,428,16.09
RC-000148,OFF-PA-1008,SUP-107,2023-02-06,1009,21.13
RC-000149,OFF-PA-1008,SUP-107,2023-03-27,1084,21.13
RC-000150,OFF-PA-1008,SUP-107,2023-05-15,1112,21.13
RC-000151,OFF-PA-1008,SUP-107,2023-07-03,1131,21.13
RC-000152,OFF-PA-1008,SUP-107,2023-08-14,1001,21.13
RC-000153,OFF-PA-1008,SUP-107,2023-10-02,1152,21.13
RC-000154,OFF-PA-1008,SUP-107,2023-11-20,1099,21.13
RC-000155,OFF-PA-1008,SUP-107,2024-01-01,993,21.13
RC-000156,OFF-PA-1008,SUP-107,2024-02-19,1110,21.13
RC-000157,OFF-PA-1008,SUP-107,2024-04-08,1075,21.13
RC-000158,OFF-PA-1008,SUP-107,2024-05-27,1074,21.13
RC-000159,OFF-PA-1008,SUP-107,2024-07-15,1082,21.13
RC-000160,OFF-PA-1008,SUP-107,2024-09-02,1130,21.13
RC-000161,OFF-PA-1008,SUP-107,2024-10-21,1069,21.13
RC-000162,OFF-PA-1008,SUP-107,2024-12-09,1098,21.13
RC-000163,OFF-PA-1008,SUP-107,2025-01-20,993,21.13
RC-000164,OFF-PA-1008,SUP-107,2025-03-10,1139,21.13
RC-000165,OFF-PA-1008,SUP-107,2025-04-28,1127,21.13
RC-000166,OFF-PA-1008,SUP-107,2025-06-16,1112,21.13
RC-000167,OFF-PA-1008,SUP-107,2025-08-04,1138,21.13
RC-000168,OFF-PA-1008,SUP-107,2025-09-22,1101,21.13
RC-000169,OFF-PA-1008,SUP-107,2025-11-10,1055,21.13
RC-000170,OFF-PA-1008,SUP-107,2025-12-22,1006,21.13
RC-000171,TEC-AC-1009,SUP-114,2023-01-30,383,551.46
RC-000172,TEC-AC-1009,SUP-114,2023-04-24,379,551.46
RC-000173,TEC-AC-1009,SUP-114,2023-07-31,387,551.46
RC-000174,TEC-AC-1009,SUP-114,2023-10-30,409,551.46
RC-000175,TEC-AC-1009,SUP-114,2024-02-05,412,551.46
RC-000176,TEC-AC-1009,SUP-114,2024-04-29,384,551.46
RC-000177,TEC-AC-1009,SUP-114,2024-07-29,409,551.46
RC-000178,TEC-AC-1009,SUP-114,2024-11-04,402,551.46
RC-000179,TEC-AC-1009,SUP-114,2025-02-10,381,551.46
RC-000180,TEC-AC-1009,SUP-114,2025-05-05,380,551.46
RC-000181,TEC-AC-1009,SUP-114,2025-08-04,381,551.46
RC-000182,TEC-AC-1009,SUP-114,2025-11-10,387,551.46
RC-000183,TEC-AC-1010,SUP-111,2023-02-27,540,218.06
RC-000184,TEC-AC-1010,SUP-111,2023-04-17,532,218.06
RC-000185,TEC-AC-1010,SUP-111,2023-06-05,534,218.06
RC-000186,TEC-AC-1010,SUP-111,2023-07-31,543,218.06
RC-000187,TEC-AC-1010,SUP-111,2023-09-25,602,218.06
RC-000188,TEC-AC-1010,SUP-111,2023-11-13,538,218.06
RC-000189,TEC-AC-1010,SUP-111,2024-01-08,576,218.06
RC-000190,TEC-AC-1010,SUP-111,2024-03-04,584,218.06
RC-000191,TEC-AC-1010,SUP-111,2024-04-29,578,218.06
RC-000192,TEC-AC-1010,SUP-111,2024-06-24,544,218.06
RC-000193,TEC-AC-1010,SUP-111,2024-08-19,585,218.06
RC-000194,TEC-AC-1010,SUP-111,2024-10-14,580,218.06
RC-000195,TEC-AC-1010,SUP-111,2024-12-09,576,218.06
RC-000196,TEC-AC-1010,SUP-111,2025-01-27,541,218.06
RC-000197,TEC-AC-1010,SUP-111,2025-03-24,571,218.06
RC-000198,TEC-AC-1010,SUP-111,2025-05-12,535,218.06
RC-000199,TEC-AC-1010,SUP-111,2025-07-07,585,218.06
RC-000200,TEC-AC-1010,SUP-111,2025-09-01,604,218.06
RC-000201,TEC-AC-1010,SUP-111,2025-10-27,574,218.06
RC-000202,TEC-AC-1010,SUP-111,2025-12-22,576,218.06
RC-000203,TEC-CO-1011,SUP-110,2023-02-20,505,420.14
RC-000204,TEC-CO-1011,SUP-110,2023-05-15,510,420.14
RC-000205,TEC-CO-1011,SUP-110,2023-08-14,530,420.14
RC-000206,TEC-CO-1011,SUP-110,2023-11-20,543,420.14
RC-000207,TEC-CO-1011,SUP-110,2024-02-26,522,420.14
RC-000208,TEC-CO-1011,SUP-110,2024-05-27,502,420.14
RC-000209,TEC-CO-1011,SUP-110,2024-09-02,512,420.14
RC-000210,TEC-CO-1011,SUP-110,2024-12-02,517,420.14
RC-000211,TEC-CO-1011,SUP-110,2025-03-03,526,420.14
RC-000212,TEC-CO-1011,SUP-110,2025-06-02,526,420.14
RC-000213,TEC-CO-1011,SUP-110,2025-09-01,505,420.14
RC-000214,TEC-CO-1011,SUP-110,2025-12-08,542,420.14
RC-000215,FUR-TA-1012,SUP-113,2023-02-06,136,225.75
RC-000216,FUR-TA-1012,SUP-113,2023-03-20,145,225.75
RC-000217,FUR-TA-1012,SUP-113,2023-05-01,127,225.75
RC-000218,FUR-TA-1012,SUP-113,2023-06-05,141,225.75
RC-000219,FUR-TA-1012,SUP-113,2023-07-10,138,225.75
RC-000220,FUR-TA-1012,SUP-113,2023-08-21,156,225.75
RC-000221,FUR-TA-1012,SUP-113,2023-09-25,132,225.75
RC-000222,FUR-TA-1012,SUP-113,2023-10-30,130,225.75
RC-000223,FUR-TA-1012,SUP-113,2023-12-04,126,225.75
RC-000224,FUR-TA-1012,SUP-113,2024-01-15,137,225.75
RC-000225,FUR-TA-1012,SUP-113,2024-02-26,150,225.75
RC-000226,FUR-TA-1012,SUP-113,2024-04-08,142,225.75
RC-000227,FUR-TA-1012,SUP-113,2024-05-20,144,225.75
RC-000228,FUR-TA-1012,SUP-113,2024-07-01,146,225.75
RC-000229,FUR-TA-1012,SUP-113,2024-08-05,132,225.75
RC-000230,FUR-TA-1012,SUP-113,2024-09-09,125,225.75
RC-000231,FUR-TA-1012,SUP-113,2024-10-14,144,225.75
RC-000232,FUR-TA-1012,SUP-113,2024-11-25,130,225.75
RC-000233,FUR-TA-1012,SUP-113,2024-12-30,129,225.75
RC-000234,FUR-TA-1012,SUP-113,2025-02-10,140,225.75
RC-000235,FUR-TA-1012,SUP-113,2025-03-24,148,225.75
RC-000236,FUR-TA-1012,SUP-113,2025-05-05,137,225.75
RC-000237,FUR-TA-1012,SUP-113,2025-06-09,136,225.75
RC-000238,FUR-TA-1012,SUP-113,2025-07-14,129,225.75
RC-000239,FUR-TA-1012,SUP-113,2025-08-18,131,225.75
RC-000240,FUR-TA-1012,SUP-113,2025-09-29,141,225.75
RC-000241,FUR-TA-1012,SUP-113,2025-11-03,140,225.75
RC-000242,FUR-TA-1012,SUP-113,2025-12-08,131,225.75
RC-000243,TEC-AC-1013,SUP-109,2023-02-13,1123,378.75
RC-000244,TEC-AC-1013,SUP-109,2023-04-24,1167,378.75
RC-000245,TEC-AC-1013,SUP-109,2023-07-03,1120,378.75
RC-000246,TEC-AC-1013,SUP-109,2023-09-11,1169,378.75
RC-000247,TEC-AC-1013,SUP-109,2023-11-20,1182,378.75
RC-000248,TEC-AC-1013,SUP-109,2024-01-29,1141,378.75
RC-000249,TEC-AC-1013,SUP-109,2024-04-08,1124,378.75
RC-000250,TEC-AC-1013,SUP-109,2024-06-17,1152,378.75
RC-000251,TEC-AC-1013,SUP-109,2024-08-26,1127,378.75
RC-000252,TEC-AC-1013,SUP-109,2024-11-04,1152,378.75
RC-000253,TEC-AC-1013,SUP-109,2025-01-13,1192,378.75
RC-000254,TEC-AC-1013,SUP-109,2025-03-24,1154,378.75
RC-000255,TEC-AC-1013,SUP-109,2025-05-26,1124,378.75
RC-000256,TEC-AC-1013,SUP-109,2025-08-04,1204,378.75
RC-000257,TEC-AC-1013,SUP-109,2025-10-13,1154,378.75
RC-000258,TEC-MA-1014,SUP-107,2023-02-06,86,460.76
RC-000259,TEC-MA-1014,SUP-107,2023-03-20,94,460.76
RC-000260,TEC-MA-1014,SUP-107,2023-05-08,96,460.76
RC-000261,TEC-MA-1014,SUP-107,2023-06-26,90,460.76
RC-000262,TEC-MA-1014,SUP-107,2023-08-14,91,460.76
RC-000263,TEC-MA-1014,SUP-107,2023-09-25,93,460.76
RC-000264,TEC-MA-1014,SUP-107,2023-11-13,95,460.76
RC-000265,TEC-MA-1014,SUP-107,2024-01-08,90,460.76
RC-000266,TEC-MA-1014,SUP-107,2024-03-04,97,460.76
RC-000267,TEC-MA-1014,SUP-107,2024-04-15,89,460.76
RC-000268,TEC-MA-1014,SUP-107,2024-05-27,91,460.76
RC-000269,TEC-MA-1014,SUP-107,2024-07-08,85,460.76
RC-000270,TEC-MA-1014,SUP-107,2024-09-02,89,460.76
RC-000271,TEC-MA-1014,SUP-107,2024-10-14,85,460.76
RC-000272,TEC-MA-1014,SUP-107,2024-11-25,85,460.76
RC-000273,TEC-MA-1014,SUP-107,2025-01-13,88,460.76
RC-000274,TEC-MA-1014,SUP-107,2025-02-24,84,460.76
RC-000275,TEC-MA-1014,SUP-107,2025-04-14,93,460.76
RC-000276,TEC-MA-1014,SUP-107,2025-06-02,97,460.76
RC-000277,TEC-MA-1014,SUP-107,2025-07-14,101,460.76
RC-000278,TEC-MA-1014,SUP-107,2025-08-25,88,460.76
RC-000279,TEC-MA-1014,SUP-107,2025-10-06,91,460.76
RC-000280,TEC-MA-1014,SUP-107,2025-11-17,92,460.76
RC-000281,OFF-ST-1015,SUP-106,2023-02-27,904,21.27
RC-000282,OFF-ST-1015,SUP-106,2023-05-08,935,21.27
RC-000283,OFF-ST-1015,SUP-106,2023-07-17,922,21.27
RC-000284,OFF-ST-1015,SUP-106,2023-09-25,945,21.27
RC-000285,OFF-ST-1015,SUP-106,2023-12-04,927,21.27
RC-000286,OFF-ST-1015,SUP-106,2024-02-12,903,21.27
RC-000287,OFF-ST-1015,SUP-106,2024-04-22,966,21.27
RC-000288,OFF-ST-1015,SUP-106,2024-06-24,866,21.27
RC-000289,OFF-ST-1015,SUP-106,2024-09-02,887,21.27
RC-000290,OFF-ST-1015,SUP-106,2024-11-11,950,21.27
RC-000291,OFF-ST-1015,SUP-106,2025-01-20,953,21.27
RC-000292,OFF-ST-1015,SUP-106,2025-03-31,943,21.27
RC-000293,OFF-ST-1015,SUP-106,2025-06-02,881,21.27
RC-000294,OFF-ST-1015,SUP-106,2025-08-11,949,21.27
RC-000295,OFF-ST-1015,SUP-106,2025-10-20,909,21.27
RC-000296,OFF-ST-1015,SUP-106,2025-12-22,889,21.27
RC-000297,TEC-AC-1016,SUP-110,2023-02-20,410,497.43
RC-000298,TEC-AC-1016,SUP-110,2023-05-15,398,497.43
RC-000299,TEC-AC-1016,SUP-110,2023-08-14,407,497.43
RC-000300,TEC-AC-1016,SUP-110,2023-11-20,416,497.43
RC-000301,TEC-AC-1016,SUP-110,2024-02-12,403,497.43
RC-000302,TEC-AC-1016,SUP-110,2024-05-06,406,497.43
RC-000303,TEC-AC-1016,SUP-110,2024-08-12,422,497.43
RC-000304,TEC-AC-1016,SUP-110,2024-11-11,417,497.43
RC-000305,TEC-AC-1016,SUP-110,2025-02-03,397,497.43
RC-000306,TEC-AC-1016,SUP-110,2025-05-12,419,497.43
RC-000307,TEC-AC-1016,SUP-110,2025-08-04,420,497.43
RC-000308,TEC-AC-1016,SUP-110,2025-11-03,406,497.43
RC-000309,TEC-MA-1017,SUP-104,2023-02-20,153,571.22
RC-000310,TEC-MA-1017,SUP-104,2023-04-10,146,571.22
RC-000311,TEC-MA-1017,SUP-104,2023-05-29,163,571.22
RC-000312,TEC-MA-1017,SUP-104,2023-07-17,161,571.22
RC-000313,TEC-MA-1017,SUP-104,2023-09-04,153,571.22
RC-000314,TEC-MA-1017,SUP-104,2023-10-23,166,571.22
RC-000315,TEC-MA-1017,SUP-104,2023-12-11,143,571.22
RC-000316,TEC-MA-1017,SUP-104,2024-01-29,154,571.22
RC-000317,TEC-MA-1017,SUP-104,2024-03-25,159,571.22
RC-000318,TEC-MA-1017,SUP-104,2024-05-06,145,571.22
RC-000319,TEC-MA-1017,SUP-104,2024-06-17,148,571.22
RC-000320,TEC-MA-1017,SUP-104,2024-08-05,140,571.22
RC-000321,TEC-MA-1017,SUP-104,2024-09-23,144,571.22
RC-000322,TEC-MA-1017,SUP-104,2024-11-04,143,571.22
RC-000323,TEC-MA-1017,SUP-104,2024-12-23,147,571.22
RC-000324,TEC-MA-1017,SUP-104,2025-02-03,146,571.22
RC-000325,TEC-MA-1017,SUP-104,2025-03-24,145,571.22
RC-000326,TEC-MA-1017,SUP-104,2025-05-05,143,571.22
RC-000327,TEC-MA-1017,SUP-104,2025-06-16,140,571.22
RC-000328,TEC-MA-1017,SUP-104,2025-08-04,143,571.22
RC-000329,TEC-MA-1017,SUP-104,2025-09-22,158,571.22
RC-000330,TEC-MA-1017,SUP-104,2025-11-10,140,571.22
RC-000331,TEC-CO-1018,SUP-112,2023-02-27,297,340.75
RC-000332,TEC-CO-1018,SUP-112,2023-04-10,284,340.75
RC-000333,TEC-CO-1018,SUP-112,2023-05-22,302,340.75
RC-000334,TEC-CO-1018,SUP-112,2023-07-10,304,340.75
RC-000335,TEC-CO-1018,SUP-112,2023-08-21,271,340.75
RC-000336,TEC-CO-1018,SUP-112,2023-10-02,283,340.75
RC-000337,TEC-CO-1018,SUP-112,2023-11-13,282,340.75
RC-000338,TEC-CO-1018,SUP-112,2024-01-01,309,340.75
RC-000339,TEC-CO-1018,SUP-112,2024-02-12,293,340.75
RC-000340,TEC-CO-1018,SUP-112,2024-03-25,285,340.75
RC-000341,TEC-CO-1018,SUP-112,2024-05-06,298,340.75
RC-000342,TEC-CO-1018,SUP-112,2024-06-17,289,340.75
RC-000343,TEC-CO-1018,SUP-112,2024-07-29,296,340.75
RC-000344,TEC-CO-1018,SUP-112,2024-09-09,276,340.75
RC-000345,TEC-CO-1018,SUP-112,2024-10-21,274,340.75
RC-000346,TEC-CO-1018,SUP-112,2024-12-09,309,340.75
RC-000347,TEC-CO-1018,SUP-112,2025-01-20,281,340.75
RC-000348,TEC-CO-1018,SUP-112,2025-03-03,296,340.75
RC-000349,TEC-CO-1018,SUP-112,2025-04-14,290,340.75
RC-000350,TEC-CO-1018,SUP-112,2025-05-26,273,340.75
RC-000351,TEC-CO-1018,SUP-112,2025-06-30,269,340.75
RC-000352,TEC-CO-1018,SUP-112,2025-08-11,293,340.75
RC-000353,TEC-CO-1018,SUP-112,2025-09-22,277,340.75
RC-000354,TEC-CO-1018,SUP-112,2025-11-03,322,340.75
RC-000355,TEC-CO-1018,SUP-112,2025-12-15,268,340.75
RC-000356,FUR-FU-1019,SUP-102,2023-02-20,91,227.74
RC-000357,FUR-FU-1019,SUP-102,2023-05-29,93,227.74
RC-000358,FUR-FU-1019,SUP-102,2023-09-18,92,227.74
RC-000359,FUR-FU-1019,SUP-102,2023-12-11,89,227.74
RC-000360,FUR-FU-1019,SUP-102,2024-03-18,93,227.74
RC-000361,FUR-FU-1019,SUP-102,2024-06-03,91,227.74
RC-000362,FUR-FU-1019,SUP-102,2024-09-02,91,227.74
RC-000363,FUR-FU-1019,SUP-102,2024-11-25,89,227.74
RC-000364,FUR-FU-1019,SUP-102,2025-02-10,96,227.74
RC-000365,FUR-FU-1019,SUP-102,2025-04-28,90,227.74
RC-000366,FUR-FU-1019,SUP-102,2025-07-28,96,227.74
RC-000367,FUR-FU-1019,SUP-102,2025-11-03,94,227.74
RC-000368,FUR-BO-1020,SUP-107,2023-02-13,73,123.28
RC-000369,FUR-BO-1020,SUP-107,2023-04-03,66,123.28
RC-000370,FUR-BO-1020,SUP-107,2023-05-22,72,123.28
RC-000371,FUR-BO-1020,SUP-107,2023-07-10,80,123.28
RC-000372,FUR-BO-1020,SUP-107,2023-08-28,71,123.28
RC-000373,FUR-BO-1020,SUP-107,2023-10-23,76,123.28
RC-000374,FUR-BO-1020,SUP-107,2023-12-18,65,123.28
RC-000375,FUR-BO-1020,SUP-107,2024-01-29,69,123.28
RC-000376,FUR-BO-1020,SUP-107,2024-03-18,80,123.28
RC-000377,FUR-BO-1020,SUP-107,2024-05-13,66,123.28
RC-000378,FUR-BO-1020,SUP-107,2024-07-01,70,123.28
RC-000379,FUR-BO-1020,SUP-107,2024-08-19,71,123.28
RC-000380,FUR-BO-1020,SUP-107,2024-10-14,67,123.28
RC-000381,FUR-BO-1020,SUP-107,2024-12-09,70,123.28
RC-000382,FUR-BO-1020,SUP-107,2025-02-03,68,123.28
RC-000383,FUR-BO-1020,SUP-107,2025-03-24,69,123.28
RC-000384,FUR-BO-1020,SUP-107,2025-05-12,80,123.28
RC-000385,FUR-BO-1020,SUP-107,2025-06-30,67,123.28
RC-000386,FUR-BO-1020,SUP-107,2025-08-11,71,123.28
RC-000387,FUR-BO-1020,SUP-107,2025-10-06,74,123.28
RC-000388,FUR-BO-1020,SUP-107,2025-11-10,69,123.28
RC-000389,FUR-BO-1020,SUP-107,2025-12-22,71,123.28
RC-000390,OFF-AR-1021,SUP-101,2023-02-13,247,21.05
RC-000391,OFF-AR-1021,SUP-101,2023-03-20,243,21.05
RC-000392,OFF-AR-1021,SUP-101,2023-05-01,270,21.05
RC-000393,OFF-AR-1021,SUP-101,2023-06-05,272,21.05
RC-000394,OFF-AR-1021,SUP-101,2023-07-10,257,21.05
RC-000395,OFF-AR-1021,SUP-101,2023-08-21,275,21.05
