Product ID,Product Name,Category,Sub-Category,Warehouse,Supplier ID,Unit Cost,Lead Time Days,Avg Daily Demand,Safety Stock,Reorder Point,Beginning Stock,Current Stock,Last Restock Date
OFF-LA-1053,Hon Label Maker Tape,Office Supplies,Labels,Central DC,SUP-114,19.51,14,44.37,222,843,3244,2466,2025-12-01
OFF-ST-1054,Iris File Box,Office Supplies,Storage,Central DC,SUP-107,28.32,14,7.87,71,181,406,170,2025-10-20
OFF-PA-1055,Xerox Paper Ream,Office Supplies,Paper,South DC,SUP-113,27.39,8,3.21,16,42,201,195,2025-12-15
OFF-PA-1056,HP Paper Ream,Office Supplies,Paper,East DC,SUP-106,15.61,12,43.53,522,1044,2138,2060,2025-11-10
OFF-PA-1057,Xerox Paper Ream,Office Supplies,Paper,Central DC,SUP-114,25.93,16,33.5,201,737,2183,2298,2025-11-24
FUR-FU-1058,Advantus Task Lamp,Furniture,Furnishings,East DC,SUP-107,93.48,15,2.79,22,64,189,84,2025-11-24
FUR-FU-1059,Eldon Desk Lamp,Furniture,Furnishings,South DC,SUP-101,138.63,4,1.68,17,24,114,116,2025-12-22
OFF-ST-1060,Iris File Box,Office Supplies,Storage,Central DC,SUP-105,9.23,21,38.94,273,1091,2186,1761,2025-12-15
OFF-ST-1061,Iris File Box,Office Supplies,Storage,Central DC,SUP-103,19.42,7,8.39,42,101,567,165,2025-12-01
OFF-AR-1062,Newell Highlighters,Office Supplies,Art,West DC,SUP-100,26.98,19,13.56,68,326,832,428,2025-12-01
FUR-FU-1063,Advantus Task Lamp,Furniture,Furnishings,South DC,SUP-110,300.57,15,1.21,7,25,88,19,2025-10-27
OFF-AR-1064,Sharpie Markers,Office Supplies,Art,East DC,SUP-112,9.85,7,21.85,218,371,1097,349,2025-11-10
TEC-PH-1065,Cisco IP Phone,Technology,Phones,Central DC,SUP-104,430.42,5,2.91,38,53,156,67,2025-10-27
TEC-CO-1066,Canon Copier,Technology,Copiers,West DC,SUP-104,288.46,5,9.84,89,138,723,239,2025-12-08
OFF-LA-1067,Avery Labels,Office Supplies,Labels,Central DC,SUP-108,10.12,7,15.48,170,278,810,351,2025-11-24
OFF-PA-1068,Boise Paper,Office Supplies,Paper,East DC,SUP-109,14.51,2,17.66,212,247,1153,337,2025-11-10
FUR-TA-1069,Bush Somerset Table,Furniture,Tables,South DC,SUP-111,157.6,9,0.93,7,15,55,30,2025-12-01
OFF-LA-1070,Hon Label Maker Tape,Office Supplies,Labels,South DC,SUP-108,12.61,10,35.8,430,788,1938,600,2025-10-13
TEC-AC-1071,Kensington Keyboard,Technology,Accessories,South DC,SUP-106,130.33,12,34.75,486,903,1569,1284,2025-11-17
TEC-MA-1072,Lexmark Printer,Technology,Machines,West DC,SUP-113,378.84,10,2.17,22,44,146,226,2025-12-22
OFF-ST-1073,SimpleHouseware Bin,Office Supplies,Storage,Central DC,SUP-106,11.94,8,10.58,85,170,767,548,2025-12-22
OFF-PA-1074,Xerox Paper Ream,Office Supplies,Paper,South DC,SUP-112,8.74,5,17.63,176,264,1169,381,2025-11-24
OFF-BI-1075,Avery Binder,Office Supplies,Binders,Central DC,SUP-103,19.37,5,11.82,59,118,572,36,2025-11-17
TEC-PH-1076,Samsung Galaxy,Technology,Phones,Central DC,SUP-106,174.17,8,4.47,54,90,251,183,2025-12-15
TEC-PH-1077,Samsung Galaxy,Technology,Phones,West DC,SUP-113,320.07,9,5.12,56,102,256,332,2025-12-08
OFF-ST-1078,Iris File Box,Office Supplies,Storage,East DC,SUP-111,23.55,12,6.83,61,143,497,75,2025-10-27
TEC-PH-1079,Apple iPhone,Technology,Phones,West DC,SUP-109,332.96,4,8.03,56,88,471,466,2025-12-08
FUR-BO-1080,Sauder Bookcase,Furniture,Bookcases,West DC,SUP-111,143.65,11,0.53,4,10,41,25,2025-12-15
FUR-BO-1081,Sauder Bookcase,Furniture,Bookcases,East DC,SUP-111,233.88,10,0.36,4,8,29,11,2025-10-13
TEC-CO-1082,Hewlett Packard Copier,Technology,Copiers,East DC,SUP-109,511.4,5,12.62,151,214,712,143,2025-10-20
OFF-AR-1083,Newell Highlighters,Office Supplies,Art,Central DC,SUP-113,16.34,9,10.65,96,192,506,585,2025-12-15
OFF-LA-1084,Hon Label Maker Tape,Office Supplies,Labels,West DC,SUP-109,25.14,5,12.51,113,176,656,529,2025-12-22
TEC-MA-1085,Lexmark Printer,Technology,Machines,Central DC,SUP-102,191.17,13,4.57,50,109,302,120,2025-12-01
TEC-AC-1086,Kensington Keyboard,Technology,Accessories,South DC,SUP-106,502.76,9,2.95,35,62,223,192,2025-12-01
TEC-MA-1087,Lexmark Printer,Technology,Machines,South DC,SUP-104,189.78,3,7.54,45,68,563,269,2025-12-08
OFF-ST-1088,SimpleHouseware Bin,Office Supplies,Storage,South DC,SUP-107,12.08,18,51.32,565,1489,3443,754,2025-10-27
FUR-TA-1089,Bush Somerset Table,Furniture,Tables,West DC,SUP-105,240.29,22,3.4,27,102,172,98,2025-12-01
FUR-CH-1090,Global Task Chair,Furniture,Chairs,South DC,SUP-106,263.23,12,2.93,18,53,137,131,2025-11-03
OFF-AR-1091,Newell Highlighters,Office Supplies,Art,West DC,SUP-104,22.27,2,14.34,158,187,1037,550,2025-11-03
OFF-LA-1092,Avery Labels,Office Supplies,Labels,South DC,SUP-112,22.34,6,9.66,77,135,546,625,2025-12-22
OFF-PA-1093,HP Paper Ream,Office Supplies,Paper,South DC,SUP-113,19.7,9,11.65,82,187,809,170,2025-11-24
OFF-ST-1094,Iris File Box,Office Supplies,Storage,West DC,SUP-104,12.74,2,17.4,174,209,1136,364,2025-12-01
TEC-CO-1095,Hewlett Packard Copier,Technology,Copiers,East DC,SUP-113,498.61,9,2.74,16,41,194,53,2025-11-10
OFF-BI-1096,GBC Binding System,Office Supplies,Binders,West DC,SUP-101,7.95,2,2.39,22,27,144,183,2025-12-15
FUR-BO-1097,Bush Cubix Bookcase,Furniture,Bookcases,Central DC,SUP-103,178.4,3,1.39,17,21,91,57,2025-12-22
OFF-ST-1098,Fellowes Storage Box,Office Supplies,Storage,West DC,SUP-111,25.07,9,3.06,21,49,228,109,2025-12-15
TEC-AC-1099,Logitech Mouse,Technology,Accessories,South DC,SUP-104,509.35,2,4.34,35,44,296,25,2025-09-29
TEC-CO-1100,Hewlett Packard Copier,Technology,Copiers,East DC,SUP-109,196.81,4,1.31,13,18,72,27,2025-10-13
FUR-FU-1101,Eldon Desk Lamp,Furniture,Furnishings,South DC,SUP-108,167.2,7,1.87,19,32,115,89,2025-12-22
OFF-BI-1102,Wilson Jones Binder,Office Supplies,Binders,South DC,SUP-104,22.32,3,15.48,170,216,903,534,2025-12-01
OFF-BI-1103,GBC Binding System,Office Supplies,Binders,South DC,SUP-112,8.67,5,17.71,177,266,1156,997,2025-11-10
FUR-BO-1104,Bush Cubix Bookcase,Furniture,Bookcases,West DC,SUP-108,163.92,9,0.27,4,6,20,6,2025-11-24
FUR-FU-1105,Advantus Task Lamp,Furniture,Furnishings,West DC,SUP-114,155.97,17,2.46,17,59,158,35,2025-11-03
OFF-PA-1106,Boise Paper,Office Supplies,Paper,East DC,SUP-111,27.76,9,11.4,57,160,780,885,2025-12-22
OFF-BI-1107,GBC Binding System,Office Supplies,Binders,Central DC,SUP-109,26.05,2,39.5,276,355,2296,1630,2025-12-15
OFF-PA-1108,Xerox Paper Ream,Office Supplies,Paper,East DC,SUP-106,19.79,8,17.86,107,250,1094,1275,2025-12-22
FUR-TA-1109,Bush Somerset Table,Furniture,Tables,East DC,SUP-111,152.99,12,5.7,40,108,398,166,2025-12-01
OFF-BI-1110,Avery Binder,Office Supplies,Binders,West DC,SUP-101,18.77,4,7.91,103,135,464,217,2025-11-17
OFF-PA-1111,Xerox Paper Ream,Office Supplies,Paper,South DC,SUP-103,20.68,3,28.06,140,224,2053,434,2025-12-01
FUR-BO-1112,Sauder Bookcase,Furniture,Bookcases,West DC,SUP-103,137.39,5,1.08,14,19,65,35,2025-10-27
FUR-FU-1113,Eldon Desk Lamp,Furniture,Furnishings,South DC,SUP-104,286.91,5,3.4,34,51,189,31,2025-10-27
OFF-ST-1114,Fellowes Storage Box,Office Supplies,Storage,Central DC,SUP-101,28.15,2,16.61,216,249,752,558,2025-10-27
TEC-PH-1115,Apple iPhone,Technology,Phones,East DC,SUP-100,429.27,17,3.31,23,79,230,71,2025-11-17
OFF-PA-1116,Xerox Paper Ream,Office Supplies,Paper,South DC,SUP-106,12.46,8,4.25,55,89,311,185,2025-11-24
FUR-CH-1117,Global Task Chair,Furniture,Chairs,East DC,SUP-111,345.23,12,0.61,4,11,49,6,2025-11-03
TEC-CO-1118,Canon Copier,Technology,Copiers,West DC,SUP-107,336.42,16,2.54,28,69,170,62,2025-11-17
FUR-BO-1119,O'Sullivan Bookcase,Furniture,Bookcases,West DC,SUP-104,328.9,2,1.88,19,23,90,99,2025-12-01
TEC-PH-1120,Cisco IP Phone,Technology,Phones,South DC,SUP-104,324.52,6,13.96,126,210,829,440,2025-12-15
OFF-ST-1121,Fellowes Storage Box,Office Supplies,Storage,Central DC,SUP-102,10.28,13,11.89,95,250,754,74,2025-10-27
TEC-PH-1122,Samsung Galaxy,Technology,Phones,Central DC,SUP-110,276.35,14,3.49,24,73,179,149,2025-11-10
TEC-PH-1123,Apple iPhone,Technology,Phones,West DC,SUP-112,421.8,6,6.75,68,108,410,142,2025-11-24
FUR-TA-1124,Chromcraft Round Table,Furniture,Tables,South DC,SUP-112,272.99,5,3.7,33,51,238,218,2025-12-15
FUR-BO-1125,Bush Cubix Bookcase,Furniture,Bookcases,West DC,SUP-103,306.78,7,0.63,6,10,38,63,2025-12-22
TEC-AC-1126,SanDisk Flash Drive,Technology,Accessories,Central DC,SUP-110,305.94,16,8.02,56,184,406,173,2025-11-10
OFF-BI-1127,GBC Binding System,Office Supplies,Binders,West DC,SUP-101,30.36,4,22.84,274,365,1535,1730,2025-12-01
FUR-FU-1128,Advantus Task Lamp,Furniture,Furnishings,West DC,SUP-107,149.62,15,1.36,11,31,93,19,2025-11-17
FUR-CH-1129,HON Executive Chair,Furniture,Chairs,West DC,SUP-110,105.25,14,6.09,79,164,279,175,2025-11-24
TEC-CO-1130,Hewlett Packard Copier,Technology,Copiers,West DC,SUP-100,224.49,19,4.73,24,114,251,21,2025-10-27
OFF-ST-1131,Iris File Box,Office Supplies,Storage,West DC,SUP-111,16.85,13,8.85,88,203,598,148,2025-11-17
OFF-LA-1132,Avery Labels,Office Supplies,Labels,West DC,SUP-103,22.52,4,24.93,224,324,1800,600,2025-11-10
OFF-LA-1133,Hon Label Maker Tape,Office Supplies,Labels,Central DC,SUP-106,23.15,11,18.42,258,461,944,1292,2025-12-15
FUR-TA-1134,Chromcraft Round Table,Furniture,Tables,South DC,SUP-106,330.18,9,2.78,39,64,194,43,2025-11-17
TEC-MA-1135,Lexmark Printer,Technology,Machines,East DC,SUP-107,245.5,15,1.36,12,32,68,26,2025-10-13
OFF-ST-1136,Iris File Box,Office Supplies,Storage,West DC,SUP-107,29.25,18,4.32,30,108,247,256,2025-12-15
OFF-ST-1137,Fellowes Storage Box,Office Supplies,Storage,South DC,SUP-106,26.36,12,8.81,115,221,604,598,2025-12-22
FUR-TA-1138,Chromcraft Round Table,Furniture,Tables,South DC,SUP-103,109.39,3,4.62,42,56,222,282,2025-12-22
OFF-AR-1139,Bic Pens,Office Supplies,Art,West DC,SUP-113,28.7,9,11.58,116,220,804,637,2025-11-17
OFF-PA-1140,HP Paper Ream,Office Supplies,Paper,South DC,SUP-110,16.06,17,17.15,120,412,1240,886,2025-12-22
OFF-BI-1141,Avery Binder,Office Supplies,Binders,Central DC,SUP-109,27.52,4,7.77,39,70,557,366,2025-11-24
OFF-PA-1142,Xerox Paper Ream,Office Supplies,Paper,Central DC,SUP-100,7.94,20,39.46,355,1144,2452,1712,2025-11-03
OFF-PA-1143,HP Paper Ream,Office Supplies,Paper,East DC,SUP-106,26.41,11,12.2,159,293,847,252,2025-11-17
OFF-LA-1144,Avery Labels,Office Supplies,Labels,South DC,SUP-113,7.53,10,45.0,360,810,2300,1435,2025-11-03
OFF-AR-1145,Newell Highlighters,Office Supplies,Art,South DC,SUP-112,26.48,5,12.32,99,161,744,378,2025-11-24
OFF-LA-1146,Hon Label Maker Tape,Office Supplies,Labels,Central DC,SUP-108,17.82,10,26.08,339,600,1648,657,2025-11-24
FUR-CH-1147,Hbada Office Chair,Furniture,Chairs,South DC,SUP-114,103.36,15,3.44,21,73,208,156,2025-11-24
OFF-BI-1148,Avery Binder,Office Supplies,Binders,West DC,SUP-108,9.16,9,20.49,143,327,968,602,2025-11-17
OFF-PA-1149,HP Paper Ream,Office Supplies,Paper,West DC,SUP-111,17.23,13,12.5,150,312,805,559,2025-11-24
OFF-LA-1150,Avery Labels,Office Supplies,Labels,South DC,SUP-111,8.77,9,12.64,101,215,827,730,2025-12-01
OFF-BI-1151,Wilson Jones Binder,Office Supplies,Binders,South DC,SUP-108,14.52,10,4.44,27,71,329,41,2025-11-17
TEC-MA-1152,Cubify 3D Printer,Technology,Machines,Central DC,SUP-114,513.37,17,11.17,78,268,776,746,2025-12-08
FUR-BO-1153,O'Sullivan Bookcase,Furniture,Bookcases,Central DC,SUP-108,205.47,8,0.5,4,8,29,36,2025-11-17
OFF-BI-1154,GBC Binding System,Office Supplies,Binders,Central DC,SUP-106,18.96,11,6.0,60,126,347,111,2025-10-13
OFF-LA-1155,Hon Label Maker Tape,Office Supplies,Labels,South DC,SUP-100,16.42,20,1.74,9,44,104,59,2025-12-15
TEC-MA-1156,Zebra Label Printer,Technology,Machines,Central DC,SUP-105,406.6,20,13.65,96,369,660,458,2025-12-08
OFF-ST-1157,SimpleHouseware Bin,Office Supplies,Storage,East DC,SUP-103,20.92,7,24.77,198,371,1194,930,2025-12-15
TEC-CO-1158,Canon Copier,Technology,Copiers,Central DC,SUP-108,150.7,10,11.26,90,203,782,856,2025-12-22
TEC-PH-1159,Apple iPhone,Technology,Phones,West DC,SUP-102,510.11,13,7.49,105,202,342,220,2025-12-01
OFF-AR-1160,Bic Pens,Office Supplies,Art,Central DC,SUP-113,28.53,11,15.59,78,249,862,275,2025-11-17
OFF-LA-1161,Hon Label Maker Tape,Office Supplies,Labels,South DC,SUP-102,12.49,16,21.25,170,510,1195,633,2025-12-01
TEC-CO-1162,Canon Copier,Technology,Copiers,South DC,SUP-103,468.51,6,2.51,13,28,153,70,2025-11-17
TEC-MA-1163,Cubify 3D Printer,Technology,Machines,Central DC,SUP-109,478.31,4,2.69,13,24,145,165,2025-12-01
TEC-AC-1164,SanDisk Flash Drive,Technology,Accessories,East DC,SUP-110,493.19,16,4.75,66,142,309,218,2025-10-27
FUR-FU-1165,Advantus Task Lamp,Furniture,Furnishings,East DC,SUP-104,85.34,2,7.0,98,112,502,464,2025-11-24
FUR-FU-1166,Tenex Chairmat,Furniture,Furnishings,Central DC,SUP-105,336.38,19,0.72,8,22,46,25,2025-12-08
TEC-AC-1167,SanDisk Flash Drive,Technology,Accessories,South DC,SUP-101,454.29,5,23.16,139,255,1094,897,2025-12-08
OFF-PA-1168,Xerox Paper Ream,Office Supplies,Paper,East DC,SUP-113,14.88,8,22.69,113,295,1071,1014,2025-12-22
FUR-BO-1169,Bush Cubix Bookcase,Furniture,Bookcases,Central DC,SUP-110,154.17,14,1.12,6,22,64,28,2025-12-01
TEC-AC-1170,Logitech Mouse,Technology,Accessories,Central DC,SUP-113,307.77,10,8.52,60,145,465,359,2025-12-08
OFF-AR-1171,Bic Pens,Office Supplies,Art,West DC,SUP-109,8.85,2,12.67,127,152,600,104,2025-11-03
OFF-AR-1172,Sharpie Markers,Office Supplies,Art,Central DC,SUP-102,15.83,14,8.77,96,219,400,302,2025-11-24
OFF-AR-1173,Newell Highlighters,Office Supplies,Art,West DC,SUP-110,30.54,14,12.23,86,257,837,521,2025-12-22
FUR-CH-1174,Hbada Office Chair,Furniture,Chairs,South DC,SUP-114,292.51,13,3.5,35,81,194,100,2025-12-08
OFF-ST-1175,Fellowes Storage Box,Office Supplies,Storage,West DC,SUP-101,8.42,3,56.99,342,513,3595,2110,2025-11-03
OFF-ST-1176,SimpleHouseware Bin,Office Supplies,Storage,South DC,SUP-111,27.78,10,23.44,164,398,1435,1026,2025-11-10
FUR-BO-1177,Bush Cubix Bookcase,Furniture,Bookcases,West DC,SUP-104,231.74,2,1.47,12,15,74,109,2025-12-08
OFF-BI-1178,Avery Binder,Office Supplies,Binders,East DC,SUP-102,15.7,14,41.87,586,1172,3020,1311,2025-12-01
TEC-CO-1179,Canon Copier,Technology,Copiers,West DC,SUP-106,333.99,9,14.25,142,270,931,841,2025-12-22
OFF-LA-1180,Avery Labels,Office Supplies,Labels,West DC,SUP-103,21.88,6,15.54,202,295,813,960,2025-12-08
TEC-MA-1181,Cubify 3D Printer,Technology,Machines,South DC,SUP-111,482.57,9,13.91,139,264,701,587,2025-11-03
OFF-ST-1182,SimpleHouseware Bin,Office Supplies,Storage,East DC,SUP-106,7.91,9,18.27,128,292,1028,1006,2025-11-17
OFF-ST-1183,Fellowes Storage Box,Office Supplies,Storage,Central DC,SUP-109,17.55,2,15.98,128,160,868,557,2025-12-01
FUR-BO-1184,O'Sullivan Bookcase,Furniture,Bookcases,East DC,SUP-101,297.2,4,2.58,36,46,147,55,2025-11-24
TEC-PH-1185,Samsung Galaxy,Technology,Phones,South DC,SUP-102,151.41,17,5.06,46,132,293,233,2025-11-24
TEC-AC-1186,Logitech Mouse,Technology,Accessories,Central DC,SUP-109,413.86,2,4.27,51,60,231,130,2025-12-15
OFF-BI-1187,GBC Binding System,Office Supplies,Binders,West DC,SUP-100,29.0,19,15.45,201,495,731,381,2025-11-24
FUR-TA-1188,Bush Somerset Table,Furniture,Tables,East DC,SUP-106,268.74,8,0.84,7,14,60,28,2025-12-15
TEC-PH-1189,Samsung Galaxy,Technology,Phones,Central DC,SUP-112,240.37,6,5.63,45,79,320,461,2025-12-08
TEC-CO-1190,Canon Copier,Technology,Copiers,Central DC,SUP-111,254.37,12,4.87,63,121,356,257,2025-12-22
OFF-ST-1191,SimpleHouseware Bin,Office Supplies,Storage,Central DC,SUP-104,10.32,3,11.28,158,192,806,396,2025-10-20
TEC-MA-1192,Zebra Label Printer,Technology,Machines,Central DC,SUP-105,504.86,21,3.92,35,117,225,120,2025-10-20
TEC-PH-1193,Samsung Galaxy,Technology,Phones,Central DC,SUP-105,323.11,21,1.33,7,35,91,42,2025-10-27
FUR-FU-1194,Tenex Chairmat,Furniture,Furnishings,South DC,SUP-111,253.26,9,2.47,20,42,168,43,2025-12-01
TEC-MA-1195,Lexmark Printer,Technology,Machines,South DC,SUP-110,300.82,18,1.22,10,32,94,54,2025-11-03
FUR-CH-1196,Global Task Chair,Furniture,Chairs,Central DC,SUP-108,266.27,8,3.23,42,68,212,98,2025-10-27
OFF-ST-1197,SimpleHouseware Bin,Office Supplies,Storage,South DC,SUP-105,20.78,19,18.43,129,479,927,967,2025-11-17
OFF-ST-1198,Iris File Box,Office Supplies,Storage,West DC,SUP-104,14.52,6,4.16,42,67,242,274,2025-12-08
FUR-CH-1199,Global Task Chair,Furniture,Chairs,East DC,SUP-109,232.47,3,0.34,2,3,29,13,2025-12-22
TEC-AC-1200,SanDisk Flash Drive,Technology,Accessories,East DC,SUP-114,182.43,14,17.81,107,356,1323,510,2025-12-08
OFF-BI-1201,Avery Binder,Office Supplies,Binders,West DC,SUP-108,21.51,8,4.85,39,78,243,119,2025-10-13
OFF-LA-1202,Hon Label Maker Tape,Office Supplies,Labels,West DC,SUP-102,26.99,13,2.91,17,55,183,62,2025-10-27
TEC-AC-1203,Logitech Mouse,Technology,Accessories,South DC,SUP-101,536.53,4,0.46,5,7,32,21,2025-11-24
FUR-CH-1204,HON Executive Chair,Furniture,Chairs,Central DC,SUP-100,221.64,19,6.61,93,219,335,349,2025-11-17
OFF-PA-1205,HP Paper Ream,Office Supplies,Paper,West DC,SUP-100,18.87,19,9.36,112,290,632,330,2025-12-01
OFF-BI-1206,GBC Binding System,Office Supplies,Binders,Central DC,SUP-114,17.63,17,4.45,27,103,299,308,2025-12-08
OFF-AR-1207,Sharpie Markers,Office Supplies,Art,South DC,SUP-104,21.39,4,11.05,122,166,712,201,2025-10-13
TEC-PH-1208,Samsung Galaxy,Technology,Phones,South DC,SUP-106,353.44,11,10.49,136,251,634,526,2025-12-22
OFF-BI-1209,GBC Binding System,Office Supplies,Binders,South DC,SUP-110,26.25,18,22.73,114,523,1414,272,2025-12-01
TEC-CO-1210,Canon Copier,Technology,Copiers,Central DC,SUP-111,493.53,10,4.58,64,110,239,204,2025-12-01
