customer_id,tenure_months,avg_order_value,orders_last_90d,days_since_last_order,support_tickets,plan_type,region,churned_next_30d,cancellation_reason,refund_after_churn
CUST-100052,46,978.35,0,97,2,basic,Region III,0,,0
CUST-100053,23,1408.36,4,11,0,basic,Region III,0,,0
CUST-100054,44,1351.42,5,69,0,standard,Region VII,0,,0
CUST-100055,26,781.59,0,129,2,standard,NCR,0,,0
CUST-100056,22,1033.64,2,98,1,basic,NCR,0,,0
CUST-100057,10,655.16,0,141,1,basic,Region XI,0,,0
CUST-100058,16,1056.19,2,170,0,standard,Region XI,0,,0
CUST-100059,41,1000.14,2,173,0,basic,NCR,0,,0
CUST-100060,13,81.14,2,128,1,basic,NCR,0,,0
CUST-100061,5,224.11,0,134,0,basic,Region III,1,unknown,0
CUST-100062,17,934.13,2,38,0,standard,Region IV-A,0,,0
CUST-100063,59,1056.68,8,164,1,premium,NCR,0,,0
CUST-100064,9,995.2,1,116,1,standard,Region XI,0,,0
CUST-100065,9,821.45,1,146,1,basic,Region IV-A,0,,0
CUST-100066,24,784.34,1,88,4,standard,Region IV-A,0,,0
CUST-100067,23,618.71,1,76,1,basic,NCR,0,,0
CUST-100068,55,990.9,2,145,0,premium,Region III,0,,0
CUST-100069,15,880.81,2,26,2,basic,Region VII,0,,0
CUST-100070,25,1777.77,0,43,0,premium,Region VII,0,,0
CUST-100071,18,870.84,1,178,0,premium,Region III,0,,0
CUST-100072,15,1744.08,1,95,2,premium,Region IV-A,0,,0
CUST-100073,20,948.06,4,190,1,basic,NCR,0,,0
CUST-100074,16,1346.1,0,106,1,standard,Region IV-A,0,,0
CUST-100075,43,1676.92,7,4,0,standard,Region III,0,,0
CUST-100076,47,534.99,2,133,0,basic,Region XI,1,unknown,0
CUST-100077,11,1309.11,1,140,2,basic,Region III,0,,0
CUST-100078,30,1690.08,1,165,1,standard,Region IV-A,0,,0
CUST-100079,16,895.08,0,19,1,premium,Region VII,0,,0
CUST-100080,52,1073.18,3,111,1,standard,NCR,0,,0
CUST-100081,6,804.06,2,141,4,basic,Region III,0,,0
CUST-100082,25,1739.72,3,13,3,standard,Region XI,0,,0
CUST-100083,20,2633.91,2,42,0,basic,Region VII,0,,0
CUST-100084,22,1103.13,3,173,2,basic,Region III,0,,0
CUST-100085,56,2331.65,4,195,1,standard,Region IV-A,0,,0
CUST-100086,32,723.8,3,42,0,standard,Region XI,0,,0
CUST-100087,23,1295.26,1,148,3,standard,NCR,0,,0
CUST-100088,48,985.29,7,122,0,standard,Region III,0,,0
CUST-100089,46,990.0,5,140,1,basic,Region III,0,,0
CUST-100090,9,1363.74,1,129,1,standard,Region VII,0,,0
CUST-100091,28,1222.39,0,43,0,basic,Region IV-A,0,,0
CUST-100092,25,1225.16,1,3,2,premium,Region IV-A,0,,0
CUST-100093,27,1296.64,4,47,3,premium,Region III,0,,0
CUST-100094,21,1767.79,3,64,1,premium,Region III,0,,0
CUST-100095,49,1511.46,3,111,1,premium,Region IV-A,0,,0
CUST-100096,59,754.36,6,81,0,standard,Region VII,0,,0
CUST-100097,2,708.3,0,32,3,basic,Region XI,1,found_alternative,0
CUST-100098,51,1612.39,2,199,2,standard,Region VII,0,,0
CUST-100099,52,416.04,4,63,1,basic,NCR,0,,0
CUST-100100,22,1003.05,3,90,2,standard,Region IV-A,0,,0
CUST-100101,29,323.29,2,183,2,basic,Region III,0,,0
CUST-100102,7,2030.01,1,127,0,premium,Region XI,0,,0
CUST-100103,21,2958.82,2,90,0,standard,Region IV-A,0,,0
CUST-100104,15,1894.33,0,25,0,standard,Region III,0,,0
CUST-100105,54,557.21,3,68,0,basic,Region III,0,,0
CUST-100106,7,805.38,0,196,2,standard,NCR,0,,0
CUST-100107,21,1987.28,1,171,2,premium,Region IV-A,0,,0
CUST-100108,29,1291.75,0,73,2,basic,Region III,0,,0
CUST-100109,58,1777.73,5,133,1,basic,Region IV-A,0,,0
CUST-100110,49,776.16,6,47,1,basic,Region III,0,,0
CUST-100111,56,626.98,4,90,1,standard,Region IV-A,0,,0
CUST-100112,19,1037.13,2,111,1,standard,Region VII,0,,0
CUST-100113,16,968.5,0,154,4,standard,Region VII,1,unknown,0
CUST-100114,34,2393.2,1,77,1,basic,Region XI,0,,0
CUST-100115,21,1122.56,1,42,2,basic,NCR,0,,0
CUST-100116,1,825.09,0,53,0,premium,NCR,0,,0
CUST-100117,48,1397.41,5,21,0,standard,Region IV-A,0,,0
CUST-100118,6,1437.9,0,74,1,basic,Region IV-A,0,,0
CUST-100119,12,1314.5,2,57,2,basic,Region VII,0,,0
CUST-100120,56,1271.06,4,198,2,basic,Region III,0,,0
CUST-100121,44,1151.64,3,63,2,standard,Region IV-A,0,,0
CUST-100122,38,947.51,0,133,1,standard,Region VII,0,,0
CUST-100123,8,611.65,1,180,1,standard,Region VII,1,unknown,0
CUST-100124,15,2094.68,1,24,1,standard,Region IV-A,0,,0
CUST-100125,13,1665.01,0,193,5,premium,Region IV-A,0,,0
CUST-100126,38,565.13,2,117,3,basic,NCR,0,,0
CUST-100127,30,844.87,2,10,2,basic,Region IV-A,0,,0
CUST-100128,22,364.04,2,2,1,basic,Region IV-A,0,,0
CUST-100129,45,1440.41,3,178,1,premium,NCR,0,,0
CUST-100130,46,1804.75,6,92,3,standard,Region XI,0,,0
CUST-100131,44,1400.31,2,165,2,standard,Region VII,0,,0
CUST-100132,7,1660.15,0,46,1,standard,Region VII,0,,0
CUST-100133,36,1351.28,4,37,3,basic,Region IV-A,0,,0
CUST-100134,13,1013.66,0,170,2,basic,Region XI,0,,0
CUST-100135,17,976.25,1,94,1,standard,NCR,0,,0
CUST-100136,58,1232.63,0,18,0,premium,Region XI,0,,0
CUST-100137,25,1772.61,1,96,0,basic,Region III,0,,0
CUST-100138,47,1086.82,6,57,2,basic,Region XI,0,,0
CUST-100139,15,1640.7,0,41,1,premium,NCR,0,,0
CUST-100140,58,1333.12,5,134,3,standard,Region III,0,,0
CUST-100141,17,922.57,1,76,2,standard,Region IV-A,1,found_alternative,0
CUST-100142,11,1004.62,0,57,1,basic,Region VII,0,,0
CUST-100143,20,530.68,3,32,0,basic,NCR,0,,0
CUST-100144,11,598.4,1,166,1,basic,Region III,0,,0
CUST-100145,36,1177.65,0,112,0,basic,Region XI,0,,0
CUST-100146,9,1314.8,1,183,0,standard,NCR,1,too_expensive,1
CUST-100147,13,1448.97,1,67,1,standard,Region XI,0,,0
CUST-100148,42,1546.5,1,1,3,standard,Region VII,0,,0
CUST-100149,3,676.86,0,92,2,basic,Region XI,1,no_longer_needed,1
CUST-100150,26,804.71,3,67,2,basic,Region XI,0,,0
CUST-100151,41,1398.16,2,99,1,standard,Region III,0,,0
CUST-100152,27,491.58,0,96,3,basic,Region XI,0,,0
CUST-100153,2,91.81,0,105,1,basic,Region IV-A,0,,0
CUST-100154,10,267.28,0,158,4,basic,Region III,0,,0
CUST-100155,58,583.97,4,36,0,basic,Region XI,0,,0
CUST-100156,46,683.6,7,195,2,basic,Region IV-A,0,,0
CUST-100157,21,982.06,1,2,2,basic,Region VII,0,,0
CUST-100158,52,2050.71,8,105,0,premium,Region VII,0,,0
CUST-100159,1,708.02,0,114,1,basic,Region III,0,,0
CUST-100160,3,805.71,1,156,1,standard,Region XI,0,,0
CUST-100161,53,612.57,5,60,2,standard,Region XI,0,,0
CUST-100162,40,766.94,1,141,2,standard,Region IV-A,1,unknown,0
CUST-100163,36,761.79,4,12,0,standard,Region IV-A,0,,0
CUST-100164,21,869.72,2,87,2,basic,NCR,0,,0
CUST-100165,49,513.29,3,75,2,basic,Region VII,0,,0
CUST-100166,36,912.55,4,192,0,standard,Region XI,0,,0
CUST-100167,26,1221.55,0,197,1,premium,Region XI,1,unknown,0
CUST-100168,23,817.42,0,176,0,basic,Region IV-A,0,,0
CUST-100169,21,1113.9,1,123,0,basic,Region XI,0,,0
CUST-100170,34,1603.62,3,8,0,premium,Region VII,0,,0
CUST-100171,39,703.95,0,144,0,standard,Region IV-A,0,,0
CUST-100172,48,824.85,5,40,3,standard,Region XI,0,,0
CUST-100173,24,1484.18,4,168,2,standard,NCR,0,,0
CUST-100174,15,2001.06,2,76,1,premium,Region VII,0,,0
CUST-100175,33,578.9,3,135,0,standard,Region VII,0,,0
CUST-100176,35,548.41,4,111,1,standard,Region IV-A,0,,0
CUST-100177,17,2054.05,4,88,1,standard,Region VII,0,,0
CUST-100178,5,365.29,0,128,2,basic,Region XI,1,too_expensive,0
CUST-100179,20,1087.37,1,173,0,premium,Region IV-A,0,,0
CUST-100180,5,1273.39,1,146,2,premium,Region III,0,,0
CUST-100181,5,725.33,1,61,3,standard,Region IV-A,0,,0
CUST-100182,57,493.47,5,36,1,basic,Region IV-A,0,,0
CUST-100183,47,744.8,5,50,1,standard,Region IV-A,0,,0
CUST-100184,3,868.53,0,104,0,basic,Region III,0,,0
CUST-100185,21,507.43,1,51,1,standard,Region IV-A,0,,0
CUST-100186,16,1234.53,1,159,2,basic,Region III,0,,0
CUST-100187,58,353.62,6,69,5,standard,Region XI,0,,0
CUST-100188,26,898.84,2,39,1,premium,Region IV-A,0,,0
CUST-100189,16,1691.27,3,155,2,basic,Region XI,0,,0
CUST-100190,38,839.12,0,149,5,standard,Region III,0,,0
CUST-100191,29,1157.22,2,21,1,premium,Region III,0,,0
CUST-100192,12,218.35,1,104,2,basic,Region III,0,,0
CUST-100193,19,201.89,1,104,2,basic,Region IV-A,0,,0
CUST-100194,8,762.05,2,75,1,basic,Region VII,1,unknown,0
CUST-100195,41,465.66,5,120,2,standard,Region IV-A,1,found_alternative,0
CUST-100196,58,481.81,5,103,2,basic,Region XI,0,,0
CUST-100197,48,1080.41,3,186,2,basic,Region IV-A,0,,0
CUST-100198,23,855.1,0,26,0,basic,Region XI,0,,0
CUST-100199,29,636.73,4,76,1,basic,NCR,0,,0
CUST-100200,4,805.04,1,80,1,basic,Region III,0,,0
CUST-100201,22,1345.13,1,95,2,standard,Region VII,0,,0
CUST-100202,2,579.35,1,145,2,basic,Region III,0,,0
CUST-100203,44,1465.01,3,137,1,standard,Region VII,0,,0
CUST-100204,54,1011.36,8,188,1,standard,Region IV-A,0,,0
CUST-100205,12,1968.78,2,33,1,premium,Region IV-A,0,,0
CUST-100206,40,800.68,2,51,1,basic,Region IV-A,0,,0
CUST-100207,36,550.24,5,81,4,standard,Region XI,0,,0
CUST-100208,25,724.59,1,146,0,standard,Region VII,0,,0
CUST-100209,44,991.76,5,6,2,standard,Region XI,0,,0
CUST-100210,41,2636.95,2,45,1,basic,NCR,0,,0
CUST-100211,16,451.82,0,0,3,basic,Region XI,0,,0
CUST-100212,48,2535.79,6,12,1,standard,Region XI,0,,0
CUST-100213,39,1283.38,5,84,2,basic,Region XI,0,,0
CUST-100214,19,1916.81,3,52,1,premium,Region IV-A,0,,0
CUST-100215,44,1347.73,3,163,1,standard,Region IV-A,0,,0
CUST-100216,38,2423.98,7,22,0,standard,Region IV-A,0,,0
CUST-100217,7,1100.95,0,76,0,premium,Region XI,0,,0
CUST-100218,10,1509.6,0,14,2,standard,Region XI,0,,0
CUST-100219,20,339.31,3,110,0,basic,Region XI,0,,0
CUST-100220,3,504.26,0,128,1,basic,Region XI,0,,0
CUST-100221,24,1395.12,2,94,2,standard,Region VII,0,,0
CUST-100222,28,1333.64,2,22,3,basic,Region III,0,,0
CUST-100223,46,1577.68,3,85,1,premium,NCR,0,,0
CUST-100224,11,189.42,1,170,3,basic,Region XI,1,found_alternative,0
CUST-100225,34,443.78,1,122,1,basic,NCR,0,,0
CUST-100226,40,550.52,10,116,1,standard,NCR,0,,0
CUST-100227,27,965.58,1,189,3,standard,Region IV-A,0,,0
CUST-100228,54,896.52,3,41,2,premium,Region VII,0,,0
CUST-100229,19,516.58,0,110,0,basic,Region VII,0,,0
CUST-100230,25,507.58,2,62,1,basic,Region III,0,,0
CUST-100231,1,1768.99,0,169,0,standard,Region IV-A,0,,0
CUST-100232,25,1142.91,3,154,1,premium,Region XI,0,,0
CUST-100233,2,2246.08,0,67,1,basic,Region VII,0,,0
CUST-100234,59,842.98,4,169,0,standard,Region XI,0,,0
CUST-100235,15,1054.08,1,55,3,basic,Region VII,1,unknown,0
CUST-100236,48,1142.89,7,87,3,standard,NCR,0,,0
CUST-100237,7,816.25,0,15,1,basic,Region III,0,,0
CUST-100238,17,1869.5,0,88,1,premium,NCR,0,,0
CUST-100239,8,747.76,1,116,0,basic,NCR,0,,0
CUST-100240,22,766.35,2,130,1,standard,Region XI,0,,0
CUST-100241,36,1402.15,4,147,2,standard,Region VII,0,,0
CUST-100242,25,392.23,3,149,1,basic,Region XI,0,,0
CUST-100243,36,610.31,7,125,0,basic,Region III,0,,0
CUST-100244,48,1517.65,9,79,1,standard,Region XI,0,,0
CUST-100245,3,952.6,0,170,2,standard,Region XI,1,unknown,0
CUST-100246,26,1250.71,0,62,3,standard,NCR,0,,0
CUST-100247,36,1156.77,5,42,3,standard,Region XI,0,,0
CUST-100248,31,538.1,5,55,0,basic,NCR,0,,0
CUST-100249,9,1318.74,1,133,1,premium,Region IV-A,0,,0
CUST-100250,13,379.56,2,127,0,basic,NCR,0,,0
CUST-100251,23,1639.22,2,99,0,standard,Region IV-A,0,,0
CUST-100252,39,1223.15,3,180,1,premium,NCR,1,too_expensive,0
CUST-100253,59,2048.69,3,63,1,premium,Region XI,0,,0
CUST-100254,22,680.22,2,24,0,basic,Region IV-A,0,,0
CUST-100255,31,1044.58,6,97,1,basic,Region XI,0,,0
CUST-100256,19,633.35,3,57,1,standard,Region IV-A,0,,0
CUST-100257,3,1327.25,0,144,1,basic,Region IV-A,1,poor_support,0
CUST-100258,24,949.26,2,103,1,standard,Region VII,0,,0
CUST-100259,21,814.2,1,178,1,standard,Region XI,0,,0
CUST-100260,9,352.41,0,150,3,basic,Region III,0,,0
CUST-100261,40,2946.87,1,120,1,basic,Region IV-A,0,,0
CUST-100262,16,557.94,0,83,0,standard,Region III,0,,0
CUST-100263,14,2459.61,2,132,2,standard,NCR,0,,0
CUST-100264,23,1826.91,1,71,0,basic,Region XI,0,,0
CUST-100265,57,293.95,4,186,0,basic,Region IV-A,0,,0
CUST-100266,38,740.45,3,118,0,basic,Region III,0,,0
CUST-100267,26,949.68,2,148,1,standard,Region VII,1,unknown,0
CUST-100268,49,1004.6,1,43,1,standard,Region XI,0,,0
CUST-100269,2,1504.7,0,44,3,premium,Region XI,0,,0
CUST-100270,20,2062.65,2,95,2,premium,Region IV-A,0,,0
CUST-100271,32,592.31,3,153,4,standard,NCR,0,,0
CUST-100272,29,1303.55,6,182,1,premium,Region IV-A,0,,0
CUST-100273,40,568.15,2,25,2,basic,Region IV-A,0,,0
CUST-100274,42,778.35,4,19,1,standard,Region III,0,,0
CUST-100275,27,1024.77,1,26,2,standard,Region IV-A,0,,0
CUST-100276,55,909.83,3,19,1,standard,Region IV-A,0,,0
CUST-100277,55,371.58,7,190,1,standard,Region XI,0,,0
CUST-100278,29,913.3,4,29,0,basic,NCR,0,,0
CUST-100279,54,789.53,6,22,0,premium,Region VII,0,,0
CUST-100280,38,1971.41,3,63,2,premium,Region VII,0,,0
CUST-100281,9,1425.27,0,165,0,premium,Region III,0,,0
CUST-100282,8,625.77,3,182,2,basic,Region III,0,,0
CUST-100283,5,885.67,0,135,5,premium,Region XI,0,,0
CUST-100284,13,1179.78,0,118,5,standard,Region III,0,,0
CUST-100285,19,991.73,0,151,3,standard,Region VII,0,,0
CUST-100286,5,773.53,0,18,2,basic,Region IV-A,1,found_alternative,0
CUST-100287,36,1090.51,1,112,2,standard,Region XI,0,,0
CUST-100288,25,1345.82,1,11,2,standard,Region VII,0,,0
CUST-100289,36,1161.1,2,151,2,standard,Region XI,1,no_longer_needed,0
CUST-100290,30,2351.02,3,98,2,premium,Region XI,0,,0
CUST-100291,17,1093.84,3,190,1,basic,NCR,0,,0
CUST-100292,37,1147.72,4,120,2,standard,Region XI,0,,0
CUST-100293,57,793.46,6,148,3,basic,Region XI,0,,0
CUST-100294,19,412.64,1,12,1,basic,NCR,0,,0
CUST-100295,19,256.9,2,63,0,basic,Region IV-A,0,,0
CUST-100296,31,102.6,4,91,0,basic,Region III,0,,0
CUST-100297,48,1058.73,4,178,1,basic,Region XI,0,,0
CUST-100298,32,749.48,1,135,3,basic,Region III,0,,0
CUST-100299,50,1111.43,3,95,4,basic,NCR,0,,0
CUST-100300,5,1934.07,0,129,0,standard,NCR,0,,0
CUST-100301,6,705.67,0,31,0,basic,Region VII,0,,0
CUST-100302,24,299.67,4,137,0,basic,NCR,0,,0
CUST-100303,14,1303.0,1,181,0,basic,Region III,1,found_alternative,0
CUST-100304,2,666.62,0,67,1,basic,Region IV-A,0,,0
CUST-100305,13,514.41,2,82,1,basic,NCR,0,,0
CUST-100306,16,1087.39,2,191,1,premium,NCR,0,,0
CUST-100307,55,1302.14,1,49,0,standard,Region XI,0,,0
CUST-100308,47,1042.4,2,135,1,basic,Region IV-A,0,,0
CUST-100309,21,1734.1,0,127,0,standard,Region III,0,,0
CUST-100310,57,362.22,7,41,2,basic,Region XI,0,,0
CUST-100311,50,607.98,3,199,1,standard,NCR,0,,0
CUST-100312,15,1449.69,1,190,2,premium,Region III,0,,0
CUST-100313,29,908.37,4,168,0,basic,Region XI,0,,0
CUST-100314,55,1369.81,3,131,1,basic,Region VII,0,,0
CUST-100315,27,1676.77,0,50,2,standard,Region IV-A,0,,0
CUST-100316,22,829.25,1,2,0,basic,Region XI,0,,0
CUST-100317,54,1480.16,3,142,4,basic,Region IV-A,0,,0
CUST-100318,39,981.67,4,139,2,standard,Region VII,0,,0
CUST-100319,27,987.64,1,50,1,standard,Region XI,0,,0
CUST-100320,52,653.47,7,24,0,basic,Region IV-A,0,,0
CUST-100321,44,596.47,7,102,1,standard,Region IV-A,0,,0
CUST-100322,21,244.9,2,199,2,basic,Region VII,1,found_alternative,0
CUST-100323,26,839.87,1,28,1,basic,NCR,0,,0
CUST-100324,3,1567.44,0,62,1,standard,Region IV-A,0,,0
CUST-100325,7,749.85,0,57,1,standard,Region VII,0,,0
CUST-100326,57,1663.12,5,34,1,standard,Region III,0,,0
CUST-100327,4,1894.13,0,198,1,standard,Region VII,1,too_expensive,1
CUST-100328,50,859.59,4,171,0,standard,Region IV-A,0,,0
CUST-100329,13,803.39,2,91,0,premium,NCR,0,,0
CUST-100330,32,901.15,1,74,1,standard,NCR,0,,0
CUST-100331,43,379.77,6,148,0,basic,Region IV-A,0,,0
CUST-100332,59,1572.37,3,196,1,standard,NCR,0,,0
CUST-100333,23,864.35,6,87,0,basic,Region III,0,,0
CUST-100334,55,451.32,2,173,0,standard,Region IV-A,0,,0
CUST-100335,27,1001.41,4,0,0,basic,NCR,0,,0
CUST-100336,52,1373.32,6,125,0,basic,Region IV-A,0,,0
CUST-100337,7,1050.88,0,130,0,standard,Region III,0,,0
CUST-100338,16,820.19,0,84,0,standard,Region III,0,,0
CUST-100339,37,958.13,4,83,1,basic,Region XI,0,,0
CUST-100340,42,1853.03,8,29,3,basic,Region XI,0,,0
CUST-100341,48,1752.08,0,52,3,standard,Region III,0,,0
CUST-100342,22,915.23,3,131,1,premium,Region XI,0,,0
CUST-100343,37,858.12,2,39,2,basic,Region III,0,,0
CUST-100344,37,390.84,3,57,0,basic,Region III,0,,0
CUST-100345,59,562.17,8,97,3,basic,Region XI,0,,0
CUST-100346,7,1566.84,0,21,0,basic,NCR,1,found_alternative,0
CUST-100347,1,855.76,0,179,1,basic,Region III,0,,0
CUST-100348,34,1014.94,3,181,1,premium,Region XI,0,,0
CUST-100349,1,893.84,0,68,1,standard,Region XI,0,,0
CUST-100350,12,1170.7,0,56,1,basic,Region XI,0,,0
CUST-100351,30,540.6,2,113,1,basic,Region XI,0,,0
CUST-100352,16,883.62,0,177,1,basic,Region XI,0,,0
CUST-100353,16,818.31,0,10,0,standard,Region IV-A,0,,0
CUST-100354,21,605.23,6,7,2,basic,Region III,0,,0
CUST-100355,41,1656.29,4,144,0,basic,Region III,0,,0
CUST-100356,22,1088.38,2,139,2,standard,NCR,0,,0
CUST-100357,47,1057.35,3,156,2,basic,NCR,0,,0
CUST-100358,10,1079.44,3,119,1,standard,Region XI,0,,0
CUST-100359,7,874.77,0,75,0,premium,NCR,0,,0
CUST-100360,10,365.39,1,8,0,basic,Region VII,0,,0
CUST-100361,55,1651.33,1,87,1,basic,Region III,0,,0
CUST-100362,17,2152.27,2,21,2,premium,Region VII,0,,0
CUST-100363,2,812.77,0,13,2,basic,Region IV-A,0,,0
CUST-100364,19,458.1,3,114,2,basic,NCR,0,,0
CUST-100365,41,484.64,1,184,2,standard,Region III,0,,0
CUST-100366,22,2622.41,0,150,3,standard,Region VII,1,found_alternative,0
CUST-100367,23,950.96,2,110,2,premium,Region XI,0,,0
CUST-100368,6,482.92,1,39,0,basic,Region III,0,,0
CUST-100369,40,536.15,3,27,1,basic,Region III,0,,0
CUST-100370,14,451.83,0,19,0,basic,Region VII,0,,0
CUST-100371,6,771.12,1,148,0,basic,Region IV-A,0,,0
CUST-100372,43,2465.59,2,165,1,standard,NCR,0,,0
CUST-100373,56,701.58,7,155,1,basic,NCR,0,,0
CUST-100374,37,923.39,2,1,4,basic,Region III,0,,0
CUST-100375,56,1101.85,3,40,1,basic,Region III,0,,0
CUST-100376,24,1258.01,2,95,2,basic,NCR,0,,0
CUST-100377,31,813.29,2,90,2,basic,Region VII,0,,0
CUST-100378,22,675.56,1,26,2,standard,Region IV-A,0,,0
CUST-100379,31,1109.49,2,88,0,basic,Region VII,0,,0
CUST-100380,53,2099.26,1,117,1,standard,NCR,0,,0
CUST-100381,38,228.19,2,74,2,basic,Region IV-A,0,,0
CUST-100382,2,518.97,0,107,2,basic,Region IV-A,0,,0
CUST-100383,35,1553.69,3,172,0,premium,Region IV-A,0,,0
CUST-100384,23,1734.41,0,32,4,premium,Region XI,0,,0
CUST-100385,33,595.37,1,141,0,basic,Region IV-A,0,,0
CUST-100386,33,1252.04,5,152,0,basic,Region IV-A,0,,0
CUST-100387,35,2078.72,1,176,3,premium,Region XI,0,,0
CUST-100388,52,1203.78,4,51,2,standard,Region III,0,,0
CUST-100389,51,1225.18,8,105,1,basic,Region III,0,,0
CUST-100390,58,702.91,5,87,1,basic,NCR,0,,0
CUST-100391,37,338.14,3,161,1,basic,Region VII,0,,0
CUST-100392,17,665.4,1,35,3,standard,NCR,0,,0
CUST-100393,12,2298.9,0,47,0,standard,Region III,0,,0
CUST-100394,51,1487.76,2,57,0,basic,Region IV-A,0,,0
CUST-100395,54,396.47,5,55,1,basic,Region IV-A,0,,0
CUST-100396,3,369.98,0,168,3,basic,NCR,0,,0
CUST-100397,13,1374.24,0,98,2,standard,Region IV-A,0,,0
CUST-100398,41,3594.33,1,137,1,premium,Region XI,0,,0
CUST-100399,10,1079.69,1,98,3,standard,NCR,0,,0
CUST-100400,3,716.98,1,152,1,standard,Region IV-A,0,,0
CUST-100401,59,1294.01,6,8,0,basic,Region IV-A,0,,0
CUST-100402,6,1863.46,0,46,1,standard,Region III,0,,0
CUST-100403,13,1124.95,0,117,1,basic,Region IV-A,0,,0
CUST-100404,59,1032.12,8,53,3,basic,Region III,0,,0
CUST-100405,6,391.4,0,3,2,basic,NCR,0,,0
CUST-100406,48,1558.31,4,152,0,standard,Region XI,0,,0
CUST-100407,34,1136.99,1,38,1,basic,Region XI,0,,0
CUST-100408,32,635.52,1,172,1,basic,Region III,0,,0
CUST-100409,49,913.55,5,62,2,premium,NCR,0,,0
CUST-100410,2,850.79,0,104,3,standard,NCR,0,,0
CUST-100411,4,792.28,0,167,4,basic,Region XI,1,no_longer_needed,0
CUST-100412,12,1181.02,3,67,1,basic,Region XI,0,,0
CUST-100413,29,1554.21,4,39,1,standard,Region IV-A,0,,0
CUST-100414,57,744.31,6,83,0,basic,Region XI,0,,0
CUST-100415,5,706.0,0,78,0,basic,Region III,0,,0
CUST-100416,25,1436.09,1,120,2,basic,Region IV-A,0,,0
CUST-100417,26,974.64,3,129,1,basic,NCR,0,,0
CUST-100418,12,1378.96,0,192,4,standard,Region IV-A,0,,0
CUST-100419,21,889.77,0,29,1,standard,Region VII,0,,0
